"id","location","home_latitude","home_longitude","home_anchor_type","far_latitude","far_longitude","far_anchor_type","riggable","home_lat_long","far_lat_long"
1,"wonderland",39.93353,-105.41456,"bolts_and_tree",39.93399,-105.41526,"bolts",1,NA,NA
2,"wonderland",39.93323,-105.41345,"bolts",39.93419,-105.41199,"tree",1,NA,NA
3,"wonderland",39.93723,-105.41669,"unknown",39.92845,-105.40451,"unknown",0,NA,NA
4,"wonderland",39.92961,-105.41649,"unknown",39.93145,-105.41835,"unknown",0,NA,NA
5,"boulder bowl",39.99907,-105.41089,"bolts",39.99863,-105.41164,"bolts",1,NA,NA
6,"boulder bowl",39.99887,-105.41078,"bolts",39.99861,-105.41132,"bolts",1,NA,NA
7,"boulder bowl",39.99871,-105.41085,"tree",39.99852,-105.41111,"tree",1,NA,NA
8,"dream canyon",40.00774,-105.40585,"natural",40.00723,-105.40678,"bolts",1,NA,NA
9,"dream canyon",40.00778,-105.4059,"natural",40.00802,-105.40765,"tree",1,NA,NA
10,"dream canyon",40.00796,-105.40779,"bolts",40.00722,-105.40689,"bolts",1,NA,NA
11,"dream canyon",40.00765,-105.40616,"unknown",40.00741,-105.4056,"unknown",0,NA,NA
12,"dream canyon",40.00711,-105.40742,"unknown",40.00696,-105.4064,"unknown",0,NA,NA
13,"dream canyon",40.00769,-105.40664,"unknown",40.00784,-105.40755,"unknown",0,NA,NA
14,"dream canyon",40.0071,-105.40597,"unknown",40.00756,-105.40578,"unknown",0,NA,NA
15,"dream canyon",40.00688,-105.40741,"unknown",40.00674,-105.40727,"unknown",0,NA,NA
16,"dream canyon",40.00585,-105.407,"unknown",40.00574,-105.40606,"unknown",0,NA,NA
17,"gulch",40.10987,-105.33571,"tree",40.10976,-105.33642,"tree",1,NA,NA
18,"gulch",40.11044,-105.33583,"tree",40.1101,-105.33532,"tree",1,NA,NA
19,"gulch",40.11072,-105.33693,"tree",40.11037,-105.3373,"tree",1,NA,NA
20,"gulch",40.11071,-105.33687,"tree",40.11034,-105.33725,"tree",1,NA,NA
21,"property",40.16616,-105.40054,"bolts",40.16546,-105.39859,"bolts",1,NA,NA
22,"property",40.16621,-105.40045,"bolts",40.16562,-105.39849,"bolts",1,NA,NA
23,"property",40.16582,-105.40092,"bolts",40.16491,-105.40088,"bolts",1,NA,NA
24,"property",40.16591,-105.40115,"tree",40.16546,-105.40179,"bolts",1,NA,NA
25,"property",40.16758,-105.4013,"",40.16868,-105.39942,"",0,NA,NA
